primaryTitle,titleType,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
Kapoor & Sons,movie,2016,NA,132,"Drama,Family",7.7,22740
Miami Vice,tvSeries,1984,1989,48,"Action,Crime,Drama",7.4,22739
Red Cliff II,movie,2009,NA,142,"Action,Adventure,Drama",7.6,22712
Eagle vs Shark,movie,2007,NA,88,"Comedy,Romance",6.8,22709
Flawless,movie,2007,NA,108,"Crime,Drama,Thriller",6.8,22702
Animal Kingdom,tvSeries,2016,NA,60,"Crime,Drama",8.2,22695
The Hunger,movie,1983,NA,97,"Drama,Horror",6.7,22673
Midsomer Murders,tvSeries,1997,NA,90,"Crime,Drama,Mystery",7.7,22669
Jersey Shore,tvSeries,2009,2012,40,"Comedy,Drama,Reality-TV",3.6,22662
Man of the House,movie,2005,NA,100,"Comedy,Crime",5.4,22640
Cuties,movie,2020,NA,96,Drama,2.8,22637
Millennium Actress,movie,2001,NA,87,"Animation,Drama,Fantasy",7.9,22629
Devil's Pass,movie,2013,NA,100,"Horror,Mystery,Thriller",5.7,22622
The Contender,movie,2000,NA,126,"Drama,Thriller",6.9,22613
Puncture,movie,2011,NA,100,"Biography,Drama",6.8,22607
Mike & Molly,tvSeries,2010,2016,30,Comedy,6.4,22581
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,movie,2003,NA,107,"Biography,Documentary,History",8.1,22561
"I'm a Cyborg, But That's OK",movie,2006,NA,107,"Comedy,Drama,Romance",7.1,22552
ATM,movie,2012,NA,90,"Horror,Thriller",4.7,22546
Trapped,movie,2002,NA,106,"Action,Crime,Drama",6.2,22542
The United States of Leland,movie,2003,NA,108,Drama,7.1,22540
The Kominsky Method,tvSeries,2018,NA,30,"Comedy,Drama",8.2,22521
Crossing Over,movie,2009,NA,113,"Crime,Drama",6.7,22514
Cooties,movie,2014,NA,88,"Action,Comedy,Horror",5.7,22512
Beverly Hills Chihuahua,movie,2008,NA,91,"Adventure,Comedy,Drama",3.8,22508
